#Organism Name,Strain,Assembly,Level,Size(Mb),GC%,Replicons,GenBank FTP,RefSeq FTP
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","CT18","GCA_000195995.1","Complete",5.13371,51.8776,"chromosome:NC_003198.1/AL513382.1; plasmid pHCM1:NC_003384.1/AL513383.1; plasmid pHCM2:NC_003385.1/AL513384.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/995/GCA_000195995.1_ASM19599v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/995/GCF_000195995.1_ASM19599v1"
"Yersinia pestis CO92","CO92","GCA_000009065.1","Complete",4.82986,47.6065,"chromosome:NC_003143.1/AL590842.1; plasmid pCD1:NC_003131.1/AL117189.1; plasmid pMT1:NC_003134.1/AL117211.1; plasmid pPCP1:NC_003132.1/AL109969.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/065/GCA_000009065.1_ASM906v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/065/GCF_000009065.1_ASM906v1"
"Haemophilus influenzae Rd KW20","","GCA_000027305.1","Complete",1.83014,38.2,"chromosome:NC_000907.1/L42023.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/305/GCA_000027305.1_ASM2730v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/305/GCF_000027305.1_ASM2730v1"
"Escherichia coli IAI39","IAI39","GCA_000026345.1","Complete",5.13207,50.6,"chromosome:NC_011750.1/CU928164.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/345/GCA_000026345.1_ASM2634v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/345/GCF_000026345.1_ASM2634v1"
"Shigella flexneri 2a str. 301","301","GCA_000006925.2","Complete",4.82882,50.6659,"chromosome:NC_004337.2/AE005674.2; plasmid pCP301:NC_004851.1/AF386526.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/925/GCA_000006925.2_ASM692v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/925/GCF_000006925.2_ASM692v2"
"Histophilus somni 2336","2336","GCA_000019405.1","Complete",2.26386,37.4,"chromosome:NC_010519.1/CP000947.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/405/GCA_000019405.1_ASM1940v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/405/GCF_000019405.1_ASM1940v1"
"Pseudomonas aeruginosa PAO1","PAO1","GCA_000006765.1","Complete",6.2644,66.6,"chromosome:NC_002516.2/AE004091.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1"
"Vibrio vulnificus","CECT 4999","GCA_002215135.1","Complete",5.16313,46.5303,"chromosome I:NZ_CP014636.1/CP014636.1; chromosome II:NZ_CP014637.1/CP014637.1; plasmid pR99:NZ_CP014638.1/CP014638.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/135/GCF_002215135.1_ASM221513v1"
"Acinetobacter baumannii","AB030","GCA_000746645.1","Complete",4.33579,39,"chromosome:NZ_CP009257.1/CP009257.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/645/GCA_000746645.1_ASM74664v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/645/GCF_000746645.1_ASM74664v1"
"Shigella dysenteriae Sd197","Sd197","GCA_000012005.1","Complete",4.56091,50.921,"chromosome:NC_007606.1/CP000034.1; plasmid pSD197_spA:NC_009344.1/CP000640.1; plasmid pSD1_197:NC_007607.1/CP000035.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/005/GCA_000012005.1_ASM1200v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/005/GCF_000012005.1_ASM1200v1"
"Legionella pneumophila subsp. pneumophila str. Philadelphia 1","Philadelphia 1","GCA_000008485.1","Complete",3.39775,38.3,"chromosome:NC_002942.5/AE017354.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/485/GCA_000008485.1_ASM848v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/485/GCF_000008485.1_ASM848v1"
"Shigella sonnei","ATCC 29930","GCA_002950395.1","Complete",4.994,50.9977,"chromosome:NZ_CP026802.1/CP026802.1; plasmid unnamed:NZ_CP026801.1/CP026801.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/950/395/GCA_002950395.1_ASM295039v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/950/395/GCF_002950395.1_ASM295039v1"
"Shigella boydii","ATCC 8700","GCA_002946735.1","Complete",4.52532,51.1161,"chromosome:NZ_CP026731.1/CP026731.1; plasmid unnamed1:NZ_CP026732.1/CP026732.1; plasmid unnamed2:NZ_CP026733.1/CP026733.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/946/735/GCA_002946735.1_ASM294673v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/946/735/GCF_002946735.1_ASM294673v1"
"Vibrio cholerae O1 biovar El Tor str. N16961","N16961","GCA_000006745.1","Complete",4.03346,47.4873,"chromosome I:NC_002505.1/AE003852.1; chromosome II:NC_002506.1/AE003853.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/745/GCA_000006745.1_ASM674v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/745/GCF_000006745.1_ASM674v1"
"Yersinia pseudotuberculosis","NCTC10275","GCA_900637475.1","Complete",4.6102,47.5,"chromosome 1:NZ_LR134373.1/LR134373.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/475/GCA_900637475.1_51108_B01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/475/GCF_900637475.1_51108_B01"
"Francisella tularensis subsp. tularensis SCHU S4","SCHU S4","GCA_000008985.1","Complete",1.89278,32.3,"chromosome:NC_006570.2/AJ749949.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/985/GCA_000008985.1_ASM898v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/985/GCF_000008985.1_ASM898v1"
"Coxiella burnetii RSA 493","RSA 493","GCA_000007765.2","Complete",2.03281,42.6376,"chromosome:NC_002971.4/AE016828.3; plasmid pQpH1:NC_004704.2/AE016829.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/765/GCA_000007765.2_ASM776v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/765/GCF_000007765.2_ASM776v2"
"Vibrio parahaemolyticus RIMD 2210633","O3:K6 substr. RIMD 2210633","GCA_000196095.1","Complete",5.16577,45.4,"chromosome 1:NC_004603.1/BA000031.2; chromosome 2:NC_004605.1/BA000032.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/095/GCA_000196095.1_ASM19609v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/095/GCF_000196095.1_ASM19609v1"
"Klebsiella pneumoniae subsp. pneumoniae HS11286","HS11286","GCA_000240185.2","Complete",5.68232,57.1373,"chromosome:NC_016845.1/CP003200.1; plasmid pKPHS1:NC_016838.1/CP003223.1; plasmid pKPHS2:NC_016846.1/CP003224.1; plasmid pKPHS3:NC_016839.1/CP003225.1; plasmid pKPHS4:NC_016840.1/CP003226.1; plasmid pKPHS5:NC_016847.1/CP003227.1; plasmid pKPHS6:NC_016841.1/CP003228.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/185/GCA_000240185.2_ASM24018v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/185/GCF_000240185.1_ASM24018v2"
"Yersinia kristensenii","Y231","GCA_000834865.1","Complete",4.49657,47.4,"chromosome:NZ_CP009997.1/CP009997.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/865/GCA_000834865.1_ASM83486v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/865/GCF_000834865.1_ASM83486v1"
"Stenotrophomonas maltophilia K279a","K279a","GCA_000072485.1","Complete",4.85113,66.3,"chromosome:NC_010943.1/AM743169.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/072/485/GCA_000072485.1_ASM7248v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/072/485/GCF_000072485.1_ASM7248v1"
